sku,product_name,brand,pst,gmv,gv,orders,units,instock,atc,platform_gmv_loss,express_gmv_loss,cvr,asp
Z5AC52DDCE26F388CEADAZ-1,Mesh storage box Green Grey 42x30x10 cm,generic,storage_box,150.0,1.0,1.0,3.0,43.75,3.0,0.0,0.0,1.0,50.0
Z5AC74E2B7ADF97904E20Z-1,3 Pack Clothes Storage Bag Large Capacity Under Bed Storage Organizer with Reinforced Handle Foldable Thick Fabric Storage Containers for Comforters Blankets Bedding,rock_pow,closet_organization_systems,0.0,3.0,0.0,0.0,100.0,5.0,0.0,0.0,0.0,0.0
Z5AC75D56BF6366812210Z-1,Stainless Steel Lunch Box - Insulated Bento Box Multifunctional-Containers Lunch Box Containers with 2 Compartments & Tableware(304 stainless steel 2 compartments lunch box by MahMir (White),mahmir,lunch_box,838.86,468.0,19.0,19.0,100.0,87.0,0.0,0.0,0.0405982905982906,44.15052631578948
Z5AC7B57FDF44456AC7E6Z-1,"Over Door Hanging Storage Bags,Wall Mount Closet Organizer,4 Big Pockets Linen Cotton Fabric Hanging Shelves,Multi-Functional Organizer For Living Room Bedroom Bathroom File Magazine,Black 80x30cm",ununs,hanging_closet_organizer,60.36,15.0,1.0,2.0,100.0,3.0,0.0,0.0,0.06666666666666667,30.18
Z5AC9AF4275542EA582F0Z-1,"5 Pack Shipping Boxes, Corrugated Cardboard Box for Moving, Mailing, Packing and Storage 25x25x15cm Brown",hawawa,storage_box,44.0,109.0,1.0,1.0,100.0,4.0,0.0,0.0,0.009174311926605505,44.0
Z5ACD45D7660FB80AF654Z-1,"Lumina Wall Mounted Pegboard Organiser with Adjustable Shelves, White, 140cm x 60cm, Modern Rectangular Storage Display",generic,countertop_wall_organization,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Z5ACEA305E690E11D090DZ-1,"2 Pack Under Sink Organiser,2-Tier Pull Out Cabinet Organizer, Slide Out Sink Shelf Cabinet Storage Shelves, Under Sink Storage for Kitchen Sink Cupboard Bathroom Laundry",hookor,racks,0.0,3.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Z5ACF2A58165AC392EA4BZ-1,"1 Pcs 450ml FLAT CLEAR Plastic Juice Bottle 15oz REUSABLE Water Bottle LEAK PROOF Travel ZAMZAM Bottle – Milk Smoothie Protein Shake Container, Slim PURSE Size Gym Kids Portable Storage Bottle BPA FREE Food Grade",luxoraq,storage_bottles,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Z5AD5C1397EA182924A6FZ-1,"Kitchen Storage Solution DR-8936 Microwave Oven Shelf – Durable Metal Rack with Spacious Shelves, Perfect for Small Kitchens, Apartments, and Offices, Designed for Stability, Functionality, and Space Optimization",in_house,racks,0.0,0.0,0.0,0.0,100.0,0.7,0.0,0.0,0.0,0.0
Z5AD717B969E9AD8B359CZ-1,"100 PCS Self Adhesive Cookie Bags, Clear Cellophane Treat Bags with Thank You Stickers, White Polka Dot Cookie Bags for Gift Giving Cookie Chocolate",quantum,bag,0.0,57.0,0.0,0.0,100.0,6.0,0.0,0.0,0.0,0.0
