pst,brand,impr,gv,gmv,ctr
lunch_box,lukadah,59953.0,1899.0,1675.33,3.1674811936016547
lunch_box,mahmir,106831.0,3651.0,8758.48,3.4175473411275754
lunch_box,mattel_games,17870.0,579.0,317.04,3.2400671516508113
lunch_box,milton,1714060.0,43370.0,37045.64,2.530249816225803
lunch_box,mitoyo,103660.0,3696.0,6228.02,3.5655026046691107
lunch_box,modetro,22168.0,951.0,1384.75,4.289967520750632
lunch_box,moment,16005.0,340.0,876.27,2.1243361449547016
lunch_box,mumfactory,28525.0,1644.0,3427.03,5.763365468886941
lunch_box,necomi,20129.0,588.0,780.0899999999999,2.92115852749764
lunch_box,noon_east,20259.0,880.0,485.86,4.34374845747569
lunch_box,omie,214778.0,6478.0,35025.43,3.0161375932358063
lunch_box,omielife,120399.0,3245.0,27701.379999999997,2.6952051096769907
lunch_box,pearl,83515.0,3112.0,2706.2599999999998,3.7262767167574684
lunch_box,pomefar,150967.0,3929.0,7065.88,2.6025555253797186
lunch_box,royalford,153839.0,6415.0,4953.99,4.169943902391461
lunch_box,s2c,55881.0,1943.0,1906.84,3.477031549184875
lunch_box,sistema,40927.0,3459.0,4080.3199999999997,8.451633396046619
lunch_box,smilee,15406.0,496.0,825.14,3.2195248604439826
lunch_box,snack_attack,42975.0,3361.0,6283.84,7.820826061663758
lunch_box,stor,116176.0,3030.0,1405.23,2.6081118303264015
lunch_box,super_zyouth,100618.0,5221.0,5391.81,5.188932397781709
lunch_box,tapit,63412.0,3507.0,3406.0800000000004,5.530498959187535
lunch_box,tomshoo,19587.0,1171.0,2342.04,5.978455097768928
lunch_box,topyich,40159.0,1528.0,1574.72,3.804875619412834
lunch_box,toshionics,440827.0,19266.0,19085.41,4.370421956912803
lunch_box,twisoo,22635.0,1296.0,842.71,5.725646123260438
lunch_box,vio,20191.0,1359.0,677.32,6.730721608637512
lunch_box,waokn,23905.0,846.0,1260.01,3.539008575611797
lunch_box,wigglywhale,39663.0,1342.0,2646.58,3.383506038373295
lunch_box,xiuwoo,22211.0,1002.0,2956.01,4.511278195488721
lunch_box,yah_creation,44582.0,1513.0,2729.48,3.3937463550311784
lunch_box,yoawllty,24880.0,781.0,1478.8,3.139067524115756
lunch_box,zerifam,27486.0,816.0,1608.4099999999999,2.9687841082733026
storage_set,arabest,22321.0,844.0,2481.0600000000004,3.7811925988978987
storage_set,feelings,194404.0,4648.0,9814.13,2.390897306639781
storage_set,generic,64281.0,2315.0,6730.910000000001,3.601375211959988
storage_set,home_box,47108.0,1124.0,2244.45,2.3860066230788823
storage_set,luminarc,19232.0,473.0,1485.03,2.4594425956738766
storage_set,noon,82869.0,1649.0,6065.63,1.9898876540081334
storage_set,noon_east,34333.0,884.0,2447.2,2.5747822794396065
