partner_id,partner_name,gmv,gv,orders,units,n_skus,instock,cancelled_gmv,returns_gmv,n_brands,business_model,cvr,cancel_rate,return_rate,share,cum_share
287748,huazhou shiyifenghai maoyi youxian gongsi,271.0,72,4,5,9,99.99999999999999,0.0,0.0,1,FBN,0.05555555555555555,0.0,0.0,0.01747782533157966,95.96105901819837
154077,HYY,269.01,167,3,6,1,100.00000000000001,0.0,180.72,1,FBN,0.017964071856287425,0.0,67.1796587487454,0.01734948262896031,95.97840850082733
467537,Homebyss,267.96,102,8,8,4,100.0,0.0,0.0,4,FBN,0.0784313725490196,0.0,0.0,0.01728176411752799,95.99569026494486
161,Western International (L.L.C.),267.01,21,3,3,2,100.00000000000001,0.0,0.0,1,DSE,0.14285714285714285,0.0,0.0,0.017220494988136843,96.01291075993299
90950,sino Tobacco,265.01,2,1,1,1,100.0,0.0,0.0,1,SBB,0.5,0.0,0.0,0.01709150734731338,96.03000226728031
88578,Chang ning shi bai yi da mao yi you xian gong si,263.78000000000003,16,2,2,2,70.7031250001465,0.0,0.0,1,SBB,0.125,0.0,0.0,0.01701217994820695,96.04701444722852
456945,hangzhoujintuodianzishangwuyouxiangongsi,262.52000000000004,202,7,7,17,100.0,0.0,0.0,1,FBN,0.034653465346534656,0.0,0.0,0.016930917734488165,96.063945364963
318878,SABAH,259.21,110,5,5,27,100.0,0.0,0.0,1,FBN,0.045454545454545456,0.0,0.0,0.016717443188925325,96.08066280815193
121078,THE ELEGENT VISION BEAUTY AND PERSONAL CARE REQUISTES TRADING CO. L.L.C,259.0,74,2,3,13,94.67905405331788,0.0,0.0,9,FBN,0.02702702702702703,0.0,0.0,0.016703899486638862,96.09736670763857
141142,Guangzhou Miduoti Ke Ji You Xian Gong Si,258.0,159,3,3,31,95.00786163453333,0.0,166.0,1,FBN,0.018867924528301886,0.0,64.34108527131784,0.016639405666227132,96.1140061133048
132664,Little IA,255.01,9,1,3,42,85.41666670439811,255.01,0.0,1,DSE,0.1111111111111111,100.0,0.0,0.016446569143196046,96.130452682448
321972,Jiangmenchaoliangdianzishangwuyouxiangongsi,254.5,52,4,5,17,99.99999999999999,0.0,0.0,1,FBN,0.07692307692307693,0.0,0.0,0.016413677294786065,96.14686635974279
407250,rongyi,253.75,2011,5,5,10,100.00000000000001,0.0,0.0,1,FBN,0.002486325211337643,0.0,0.0,0.016365306929477262,96.16323166667226
38388,Gifts of Emirates,250.0,41,3,3,3,100.00000000000001,0.0,45.0,2,DSE,0.07317073170731707,0.0,18.0,0.016123455102933264,96.17935512177519
308579,zejinhui,249.0,73,3,5,4,99.99999999999999,0.0,147.0,1,FBN,0.0410958904109589,0.0,59.036144578313255,0.01605896128252153,96.19541408305771
42002,Likeara,248.76999999999998,99,5,5,11,91.98232323213959,0.0,0.0,1,FBN,0.050505050505050504,0.0,0.0,0.016044127703826832,96.21145821076153
111825,Beautiful you,248.44,45,6,7,5,81.66666666799074,29.0,0.0,1,FBN,0.13333333333333333,11.672838512316858,0.0,0.01602284474309096,96.22748105550463
471420,fengyiqiao,246.32999999999998,450,5,5,6,100.00000000000004,0.0,0.0,1,FBN,0.011111111111111112,0.0,0.0,0.015886762782022203,96.24336781828664
468910,SURARAFA,246.0,5,2,4,3,100.00000000000001,0.0,207.0,1,DSE,0.4,0.0,84.14634146341463,0.015865479821286332,96.25923329810793
262987,henanxingtankejiyouxiangongsi,245.01,54,1,1,3,99.99999999999999,0.0,0.0,2,FBN,0.018518518518518517,0.0,0.0,0.015801630939078715,96.27503492904701
69007,Solarsea,243.7,32,4,4,18,99.99999999999999,0.0,0.0,1,FBN,0.125,0.0,0.0,0.015717144034339346,96.29075207308135
76590,YIXIAN,243.01,75,4,4,4,61.50000000216332,0.0,0.0,1,FBN,0.05333333333333334,0.0,0.0,0.01567264329825525,96.30642471637961
81281,TJMR Traders,241.95,4,1,1,2,100.0,0.0,0.0,2,DSE,0.25,0.0,0.0,0.015604279848618813,96.32202899622823
19761,LUSHH,241.4,125,3,4,73,99.99999999795,0.0,0.0,7,FBN,0.024,0.0,0.0,0.01556880824739236,96.33759780447562
221440,Ruiwei Machinery,239.9,139,4,4,19,96.76258992844478,0.0,0.0,1,FBN,0.02877697841726619,0.0,0.0,0.015472067516774763,96.35306987199239
482390,HONGKONG XINXINYUE TECHNOLOGY CO LIMITED,239.0,640,4,4,29,99.7851562496666,0.0,0.0,2,FBN,0.00625,0.0,0.0,0.0154140230784042,96.3684838950708
499551,XiYeM,236.01,65,4,4,1,93.75,0.0,0.0,1,DSE,0.06153846153846154,0.0,0.0,0.01522118655537312,96.38370508162618
276032,EBazario,234.0,80,4,6,1,50.0,0.0,39.0,1,DSE,0.05,0.0,16.666666666666664,0.015091553976345536,96.39879663560252
19587,big-deal,232.94,138,4,4,6,97.91666666674217,0.0,0.0,1,FBN,0.028985507246376812,0.0,0.0,0.015023190526709099,96.41381982612923
130532,Origins of Me,230.94,183,4,6,2,100.00000000000001,0.0,0.0,2,FBN,0.02185792349726776,0.0,0.0,0.014894202885885633,96.42871402901511
274845,Modern General trading (S.P.S - LLC),230.9,52,4,10,37,97.11538461832474,76.0,0.0,2,DSE,0.07692307692307693,32.91468168038112,0.0,0.014891623133069163,96.44360565214818
20001,Fashionhome,230.88,268,11,12,105,99.72014925358657,0.0,17.15,6,DSE,0.041044776119402986,0.0,7.428101178101178,0.014890333256660929,96.45849598540484
172814,ATM STAR TRADING,230.01,15,1,1,15,82.08333332938886,0.0,0.0,2,DSE,0.06666666666666667,0.0,0.0,0.014834223632902722,96.47333020903774
108973,Chixuan,229.69,85,6,6,13,100.0,0.0,0.0,1,FBN,0.07058823529411765,0.0,0.0,0.014813585610370966,96.48814379464811
80393,Sari Sari FZ-LLC,229.5,58,3,5,1,100.0,0.0,0.0,1,FBN,0.05172413793103448,0.0,0.0,0.014801331784492736,96.5029451264326
110181,maxqon,229.0,21,3,12,21,98.21428571156461,0.0,16.0,1,DSE,0.14285714285714285,0.0,6.986899563318777,0.01476908487428687,96.5177142113069
509988,Strong Commercial Bank,226.73000000000002,6,2,2,2,53.125,0.0,0.0,1,SBB,0.3333333333333333,0.0,0.0,0.014622683901952238,96.53233689520884
490529,KSR GENERAL TRADING,225.0,81,3,3,6,85.64814814883972,0.0,115.0,1,DSE,0.037037037037037035,0.0,51.11111111111111,0.014511109592639938,96.54684800480149
495046,wddd,225.0,28,2,2,3,20.535714285299747,0.0,0.0,1,FBN,0.07142857142857142,0.0,0.0,0.014511109592639938,96.56135911439414
48250,gooddeal,224.0,21,1,8,5,91.07142857036564,0.0,0.0,2,FBN,0.047619047619047616,0.0,0.0,0.014446615772228206,96.57580573016637
265270,Whale Song Department Store,223.44,111,4,4,1,100.0,55.86,0.0,1,FBN,0.036036036036036036,25.0,0.0,0.014410499232797634,96.59021622939916
57678,Robust,220.89999999999998,168,10,10,6,98.43749999954429,0.0,45.98,2,FBN,0.05952380952380952,0.0,20.81484834766863,0.01424668492895183,96.60446291432811
47395,Merry Moments,220.85999999999999,62,2,2,8,99.99999999999999,0.0,0.0,1,FBN,0.03225806451612903,0.0,0.0,0.014244105176135363,96.61870701950424
392018,BRIGHT CRESCENT TRADING,220.0,8,2,2,1,81.25,110.0,0.0,1,FBN,0.25,50.0,0.0,0.014188640490581274,96.63289565999483
72765,Best Buy,220.0,19,2,2,50,99.99999998618419,0.0,0.0,11,DSE,0.10526315789473684,0.0,0.0,0.014188640490581274,96.64708430048542
85032,QTENG-TECH,220.0,8,3,4,1,81.25,0.0,0.0,1,FBN,0.375,0.0,0.0,0.014188640490581274,96.661272940976
19959,Apparel Point,219.99,1,2,2,3,99.99999999999997,0.0,0.0,3,SBB,2.0,0.0,0.0,0.014187995552377156,96.67546093652838
368441,dongguanshihuiyashangmaoyouxiangongsi,219.8,80,6,6,13,99.99999999999994,0.0,0.0,2,FBN,0.075,0.0,0.0,0.014175741726498927,96.68963667825489
511892,yiwushixuancekeji,219.51,46,5,6,4,100.00000000000001,0.0,0.0,1,FBN,0.10869565217391304,0.0,0.0,0.014157038518579522,96.70379371677346
