pst,gmv_aug26,gmv_aug25,share_aug26,share_aug25,yoy_growth_pct,abs_yoy_chg,gv_yoy_pct,cvr_aug26,cvr_aug25,cvr_yoy_pp,asp_aug26,asp_aug25,asp_yoy_pct,instock_aug26,n_skus_aug26,selling_pct_aug26,contribution_pct
spice_jars,67547.88,55397.5,1.9077378513417804,2.4097966430043973,21.93308362290718,12150.380000000005,-8.41251233958539,4.459564148337768,3.575394866732478,0.8841692816052904,45.73316181448883,42.81105100463679,6.825599328396667,92.40124202173538,926.0,34.557235421166304,0.9783810085098533
storage_basket,63603.41,39137.89,1.7963351733823518,1.702502025114407,62.51108580457455,24465.520000000004,236.4897305948253,2.0689655172413794,4.974659909309149,-2.9056943920677694,52.91465058236273,47.04073317307692,12.486874700005018,90.93109532642629,948.0,28.58649789029536,1.9700289317139037
foldable_wardrobe,63347.99999999999,18916.340000000004,1.7891216927429712,0.8228626315254263,234.88507819165852,44431.65999999999,109.3399191737764,2.195052195052195,1.3770393653644664,0.8180128296877287,93.43362831858406,95.53707070707073,-2.2017028289846796,91.39522044325263,290.0,33.44827586206897,3.577755783816381
storage_set,59478.87999999999,44431.409999999996,1.679847105955295,1.9327706604440993,33.86673976810548,15047.469999999994,17.35410056725315,6.754874651810584,5.182194019805788,1.5726806320047964,31.33766069546891,35.095900473933646,-10.708486540346925,92.9190533614712,1122.0,22.103386809269164,1.2116624232428739
hanging_closet_organizer,52301.28999999999,31426.239999999998,1.4771322298642582,1.3670444993772373,66.42554120378384,20875.049999999996,52.854197767825404,4.283322481629616,4.71315845596076,-0.4298359743311435,47.633233151183966,39.78005063291139,19.74150960927981,90.82229625416429,586.0,37.03071672354949,1.6809147098027881
closet_organization_systems,49569.020000000004,69428.95,1.3999654127993022,3.020166083980687,-28.604681476531034,-19859.929999999993,-48.04834555181296,7.004830917874397,5.009576646192458,1.9952542716819393,37.130352059925094,37.59011911207363,-1.223106132698745,96.15367066660583,757.0,21.92866578599736,-1.599174539589303
storage_bottles,41411.08,18791.550000000003,1.169562757275914,0.8174342543769897,120.37075174746093,22619.53,75.90894379113173,5.562710824900337,5.178552163124393,0.38415866177594415,34.39458471760798,33.1420634920635,3.77924936944381,92.83744465528146,784.0,29.846938775510207,1.821384892770339
biscuit_cookie_jar,26811.3,24501.39,0.7572248285761133,1.065812850235868,9.427669205706287,2309.91,-15.441560703710156,5.34555566999691,4.903326946524995,0.4422287234719144,41.82730109204368,33.33522448979592,25.474784502642933,91.98985139543313,321.0,31.775700934579437,0.18600011484142834
other_storage,23500.11,21886.39,0.6637077189942228,0.9520600956628911,7.373166611761926,1613.7200000000012,-23.21693407037886,9.692712906057945,5.460428744775515,4.232284161282431,27.011620689655174,48.52858093126385,-44.33873776792571,94.46002805049089,139.0,25.899280575539567,0.12994103896771303
food_saver,17509.170000000002,5827.57,0.4945071015489747,0.25349986232001687,200.45404860001685,11681.600000000002,-22.49152984102163,7.397444519166106,2.5280166796976804,4.869427839468425,33.03616981132076,26.609908675799087,24.149880459252255,91.61654820484783,348.0,30.747126436781606,0.9406335924480304
garage_storage,17298.26,6867.25,0.4885504232605296,0.2987260435339491,151.8950089191452,10431.009999999998,106.74784373414509,4.368098159509202,3.2978183663115166,1.0702797931976857,72.07608333333333,85.840625,-16.0349970269516,91.9463818657367,177.0,31.07344632768362,0.8399327497227542
under_bed_storage,15917.599999999999,7847.169999999999,0.44955678879215627,0.341352658930183,102.84510211961766,8070.429999999999,38.0043116723129,7.096630216469538,4.434862950415768,2.6617672660537695,43.02054054054054,43.595388888888884,-1.3185989688346555,87.88402457757296,142.0,27.464788732394368,0.6498525513200551
aluminium_foil,13931.55,8525.52,0.3934652762286629,0.37086094996826297,63.40997381977872,5406.029999999999,18.30885836096637,16.516516516516518,12.86120322122217,3.6553132952943463,14.244938650306748,12.762754491017965,11.613356351341702,96.1107298101121,188.0,38.297872340425535,0.43530795608322687
closet_shelf_divider,10372.92,7197.61,0.2929597807205819,0.31309673569483965,44.1161718959488,3175.3100000000004,77.21098702082705,2.5889967637540456,3.652278901297917,-1.063282137543872,54.025625,44.705652173913045,20.84741497524872,85.96774193548387,121.0,42.14876033057851,0.25568443127963253
kitchen_storage_accessories,10333.22,21752.56,0.29183854356705063,0.946238477634401,-52.49653374131598,-11419.340000000002,-55.55843035791289,5.200853871531147,5.157395429064252,0.04345844246689545,33.768692810457516,31.989058823529415,5.563258352631176,94.9264391910252,341.0,23.46041055718475,-0.9195157176744188
paper_towel_holder,8405.99,3767.94,0.23740826952674884,0.16390575681288844,123.0924590094322,4638.049999999999,5.380333951762523,18.07511737089202,9.214594928880643,8.860522442011376,25.550121580547113,23.847721518987342,7.138627730973527,85.39081885856079,147.0,41.49659863945578,0.3734681579110383
countertop_wall_organization,8177.969999999999,4262.01,0.23096835779505645,0.1853978499111182,91.8805915518734,3915.959999999999,80.20905923344948,3.4416086620262956,3.2055749128919864,0.23603374913430952,43.269682539682535,38.39648648648649,12.69177599078278,91.43198498037208,349.0,19.484240687679083,0.31532354494956066
